PERMNO,date,TICKER,PRC,VOL
84398,02/01/2015,SPY,205.42999,121465865
84398,05/01/2015,SPY,201.72000,169632646
84398,06/01/2015,SPY,199.82001,209151408
84398,07/01/2015,SPY,202.31000,125346709
84398,08/01/2015,SPY,205.89999,147217784
84398,09/01/2015,SPY,204.25000,158567288
84398,12/01/2015,SPY,202.64999,144396067
84398,13/01/2015,SPY,202.08000,214553306
84398,14/01/2015,SPY,200.86000,192991092
84398,15/01/2015,SPY,199.01990,176613906
84398,16/01/2015,SPY,201.63000,211879605
84398,20/01/2015,SPY,202.05499,130991069
84398,21/01/2015,SPY,203.08000,122942707
84398,22/01/2015,SPY,206.10001,174356029
84398,23/01/2015,SPY,204.97000,117516753
84398,26/01/2015,SPY,205.45000,92009711
84398,27/01/2015,SPY,202.74001,134044598
84398,28/01/2015,SPY,200.14000,168514312
84398,29/01/2015,SPY,201.99020,173585424
84398,30/01/2015,SPY,199.45000,197729724
84398,02/02/2015,SPY,201.92000,163106969
84398,03/02/2015,SPY,204.84000,124212881
84398,04/02/2015,SPY,204.06000,134306728
84398,05/02/2015,SPY,206.12000,97953181
84398,06/02/2015,SPY,205.55000,125672026
84398,09/02/2015,SPY,204.63000,87219016
84398,10/02/2015,SPY,206.81000,96164183
84398,11/02/2015,SPY,206.92999,91087785
84398,12/02/2015,SPY,208.92000,97545949
84398,13/02/2015,SPY,209.78000,93670430
84398,17/02/2015,SPY,210.11000,76968199
84398,18/02/2015,SPY,210.13000,80652941
84398,19/02/2015,SPY,209.98000,91462491
84398,20/02/2015,SPY,211.23900,140896392
84398,23/02/2015,SPY,211.20900,74411054
84398,24/02/2015,SPY,211.81000,72472263
84398,25/02/2015,SPY,211.63000,73061687
84398,26/02/2015,SPY,211.38000,72697868
84398,27/02/2015,SPY,210.66000,108075972
84398,02/03/2015,SPY,211.99001,87491428
84398,03/03/2015,SPY,211.12000,110325809
84398,04/03/2015,SPY,210.23010,114497192
84398,05/03/2015,SPY,210.46001,76872957
84398,06/03/2015,SPY,207.50000,188127982
84398,09/03/2015,SPY,208.36000,89818893
84398,10/03/2015,SPY,204.98000,157121263
84398,11/03/2015,SPY,204.50000,110145718
84398,12/03/2015,SPY,207.10001,93993523
84398,13/03/2015,SPY,205.82719,162410893
84398,16/03/2015,SPY,208.58000,136099192
84398,17/03/2015,SPY,207.96001,94510422
84398,18/03/2015,SPY,210.46001,228808524
84398,19/03/2015,SPY,209.50000,117917302
84398,20/03/2015,SPY,210.41000,177715081
84398,23/03/2015,SPY,210.00000,71784536
84398,24/03/2015,SPY,208.82001,77805321
84398,25/03/2015,SPY,205.75999,159521708
84398,26/03/2015,SPY,205.27000,153067241
84398,27/03/2015,SPY,205.74001,118938966
84398,30/03/2015,SPY,208.25000,96180365
84398,31/03/2015,SPY,206.42999,126768703
84398,01/04/2015,SPY,205.70000,137303584
84398,02/04/2015,SPY,206.43500,86900906
84398,06/04/2015,SPY,207.83000,114368155
84398,07/04/2015,SPY,207.28000,81236337
84398,08/04/2015,SPY,207.97501,89351939
84398,09/04/2015,SPY,208.89999,85548854
84398,10/04/2015,SPY,210.03999,72722915
84398,13/04/2015,SPY,209.09000,74436594
84398,14/04/2015,SPY,209.49001,75099866
84398,15/04/2015,SPY,210.42999,99529320
84398,16/04/2015,SPY,210.37000,68934864
84398,17/04/2015,SPY,207.95000,191113230
84398,20/04/2015,SPY,209.85001,92189481
84398,21/04/2015,SPY,209.60001,72559831
84398,22/04/2015,SPY,210.63000,78264616
84398,23/04/2015,SPY,211.16000,102585942
84398,24/04/2015,SPY,211.64990,61327387
84398,27/04/2015,SPY,210.77000,79358126
84398,28/04/2015,SPY,211.44000,86863531
84398,29/04/2015,SPY,210.57001,125684903
84398,30/04/2015,SPY,208.46001,161304890
84398,01/05/2015,SPY,210.72000,103399711
84398,04/05/2015,SPY,211.32001,70927235
84398,05/05/2015,SPY,208.89999,113326156
84398,06/05/2015,SPY,208.03999,135060151
84398,07/05/2015,SPY,208.87000,88244940
84398,08/05/2015,SPY,211.62000,155877260
84398,11/05/2015,SPY,210.60500,75708065
84398,12/05/2015,SPY,209.98000,119727592
84398,13/05/2015,SPY,210.02000,94667943
84398,14/05/2015,SPY,212.21001,95934006
84398,15/05/2015,SPY,212.44000,76510099
84398,18/05/2015,SPY,213.10001,74549685
84398,19/05/2015,SPY,213.03000,72114610
84398,20/05/2015,SPY,212.88000,76857530
