,0
2022-12-16,0.014685968449414888
2022-12-19,0.016037563371850434
2022-12-20,0.0005289775328925351
2022-12-21,-0.023530443071233333
2022-12-22,0.024059583678853285
2022-12-23,0.0028022836450359813
2022-12-27,0.013975180560709146
2022-12-28,0.031166145099032407
2022-12-29,-0.027930730998207517
2022-12-30,-0.0024660405053742716
2023-01-03,0.038122508900586674
2023-01-04,-0.010261416336884986
2023-01-05,-0.010661223379228719
2023-01-06,0.03613331021861895
2023-01-09,0.00408060944243536
2023-01-10,-0.004446519634207312
2023-01-11,-0.02089229060493984
2023-01-12,-0.0005993788529914173
2023-01-13,0.010068186897302007
2023-01-17,0.008718244746173625
2023-01-18,-0.00538420240172807
2023-01-19,0.00044355556277687837
2023-01-20,0.019038471734003165
2023-01-23,0.023228589724931782
2023-01-24,0.010012441606099627
2023-01-25,-0.004711890741108911
2023-01-26,0.014695188937050928
2023-01-27,0.013591259074483305
2023-01-30,-0.020282217289360607
2023-01-31,0.008980282514173616
2023-02-01,0.007869747228513347
2023-02-02,0.03639252879953551
2023-02-03,0.024106979943475118
2023-02-06,-0.018091542246763237
2023-02-07,0.01906167606271648
2023-02-08,-0.017810398700326146
2023-02-09,0.0069353409015528375
2023-02-10,-0.00245319724333573
2023-02-13,-0.018632073008341073
2023-02-14,0.004233958228354578
2023-02-15,0.013807528682858877
2023-02-16,-0.010484108435777977
2023-02-17,0.007575279961143327
2023-02-21,-0.027042180225580435
2023-02-22,-0.002891974032457286
2023-02-23,-0.0032848254791026568
2023-02-24,0.0181692001842853
2023-02-27,-0.008213631020332405
2023-02-28,0.0034537334217588376
2023-03-01,0.014348419093705619
2023-03-02,-0.004120704932649916
2023-03-03,0.03448847970026352
2023-03-06,0.018369623605216823
2023-03-07,-0.014602554211094482
2023-03-08,0.008342228404397987
2023-03-09,0.015026821401224248
2023-03-10,0.013976146751335749
2023-03-13,-0.013178923048711051
2023-03-14,0.013990853093191282
2023-03-15,-0.002617904607062335
2023-03-16,0.01852148635043573
2023-03-17,-0.005468968193823144
2023-03-20,0.01536530699169325
2023-03-21,0.011873340737887154
2023-03-22,-0.009145229767969068
2023-03-23,0.0069454092293994
2023-03-24,0.008271274401773105
2023-03-27,0.012369524746733406
2023-03-28,0.003988335247515034
2023-03-29,0.019597604219740196
2023-03-30,0.00984124489178504
2023-03-31,0.015523169263972719
2023-04-03,0.00767214661906687
2023-04-04,-0.0032551407725054135
2023-04-05,-0.011354552287019305
2023-04-06,0.005480984946819774
2023-04-10,0.01610129965243894
2023-04-11,0.007620150952767214
2023-04-12,-0.004362573146013797
2023-04-13,0.03353485153714025
2023-04-14,-0.002116195737227774
2023-04-17,-0.00012096345774071435
2023-04-18,0.007476677996105406
2023-04-19,-0.006944316130798015
2023-04-20,-0.005863569509955277
2023-04-21,-0.009828972700416437
2023-04-24,0.0018767060627775996
2023-04-25,-0.009480389511117744
2023-04-26,6.134892144438116e-05
2023-04-27,0.02799975494614793
2023-04-28,0.00751275231935462
2023-05-01,-0.0005304868334913476
2023-05-02,0.006210506953462119
2023-05-03,-0.006488547961497215
2023-05-04,-0.009962728847887887
2023-05-05,0.04585909594587621
2023-05-08,0.0004035751584101478
2023-05-09,0.010021019511743631
2023-05-10,-0.010366887532969857
2023-05-11,0.0010940901168156381
2023-05-12,0.005432179723746513
2023-05-15,0.00290165449495296
2023-05-16,0.0
2023-05-17,-0.003596661307614606
2023-05-18,0.013573676829235446
2023-05-19,0.0006281507030630061
2023-05-22,-0.00549587570312909
2023-05-23,0.015271010957914942
2023-05-24,0.0016307360306935228
2023-05-25,-0.006670130688896701
2023-05-26,0.014006077764358405
2023-05-30,0.010603245873368701
2023-05-31,-0.00028202010736416835
2023-06-01,0.015895457025751007
2023-06-02,-0.004764173316256888
2023-06-05,-0.007599933884860164
2023-06-06,-0.0020626650045698514
2023-06-07,0.0077864127672503764
2023-06-08,0.015346845078815917
2023-06-09,0.002157355400302346
2023-06-12,0.015517760527966162
2023-06-13,-0.0026150555787194107
2023-06-14,0.0034853350144507704
2023-06-15,0.01113646502202997
2023-06-16,-0.005877126933356466
2023-06-20,0.0004864310174600201
2023-06-21,-0.005691480321454111
2023-06-22,0.016390317710914006
2023-06-23,-0.0017128089145020161
2023-06-26,-0.0075816396108165166
2023-06-27,0.014946849677649443
2023-06-28,0.0063079337537953195
2023-06-29,0.0017949244213779781
2023-06-30,0.022839647205394817
2023-07-03,0.007815057631748602
2023-07-05,0.005888929836247164
2023-07-06,-0.002505657863191386
2023-07-07,0.005908623212765392
2023-07-10,0.01091518040697149
2023-07-11,0.0028140063858410514
2023-07-12,0.00894541514346404
2023-07-13,-0.004049213774660047
2023-07-14,0.0007870922459194628
2023-07-17,0.0171573846681067
2023-07-18,-0.001341059138294644
2023-07-19,0.007046866750597074
2023-07-20,0.010148782118584988
2023-07-21,0.006180814818604821
2023-07-24,0.004211354702628709
2023-07-25,0.0045033736875005
2023-07-26,0.004534768705841628
2023-07-27,0.006602844942703008
2023-07-28,0.013417473153021825
2023-07-31,0.0031611255739141058
2023-08-01,0.00428502338484966
2023-08-02,0.015611339167369214
2023-08-03,0.007348507873790103
2023-08-04,0.04921137624620061
2023-08-07,0.017404179389711033
2023-08-08,-0.005297653864322005
2023-08-09,0.008994810320547218
2023-08-10,0.0012354004196690387
2023-08-11,-0.00033749587216927614
2023-08-14,-0.009349391132470448
2023-08-15,0.011263664661576267
2023-08-16,0.004971299575112698
2023-08-17,0.014662091135071333
2023-08-18,-0.0028121127528238418
2023-08-21,-0.007706982709870431
