Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.56805419921875,172.77905445134888,170.52409725332382,172.36147167299092,121465900
2015-01-05,168.4695587158203,170.68274183915315,168.16055160823365,170.51571131460935,169632600
2015-01-06,166.88278198242188,169.30475691705445,166.08101746806065,168.77859855626696,209151400
2015-01-07,168.96231079101562,169.30473166501477,167.7680303806061,168.21901409143436,125346700
2015-01-08,171.9605255126953,172.17767664072198,170.365369518066,170.3820636482136,147217800
2015-01-09,170.58255004882812,172.3948576192564,169.96452300317785,172.3781507413702,158567300
2015-01-12,169.2462615966797,170.87484430602098,168.63659442871202,170.71616084255797,144396100
2015-01-13,168.770263671875,171.60982157564106,167.45904758085032,170.47399586541152,214553300
2015-01-14,167.75131225585938,167.95175652701613,165.83878921673474,166.74075657791042,192991100
2015-01-15,166.21466064453125,168.71179762306699,166.09773797072305,168.39444336193938,176613900
2015-01-16,168.3944091796875,168.55309264984808,165.82209813444274,166.0058355479326,211879600
2015-01-20,168.7535400390625,169.30475233127984,167.1750777430687,169.03749325252684,130991100
2015-01-21,169.60537719726562,170.0897746191889,167.8181238960509,168.28581444311845,122942700
2015-01-22,172.1276397705078,172.2612565848632,168.97906180774197,170.36543979855958,174356000
2015-01-23,171.183837890625,172.12757878696576,171.0502083799975,171.86866683127067,117516800
2015-01-26,171.58480834960938,171.67667709590228,170.2485507368984,170.96679382329228,92009700
2015-01-27,169.32144165039062,170.47396126305338,168.48627623131844,169.5135261285656,134044600
2015-01-28,167.15000915527344,170.61594060279583,166.957924674005,170.51572482884936,168514300
2015-01-29,168.69503784179688,168.95393703708208,165.93063008745318,167.35042124442882,173585400
2015-01-30,166.57374572753906,168.84539676112405,166.30649941138321,167.50913969311802,197729700
2015-02-02,168.6365509033203,168.72841958247625,165.24578232583502,167.07479610127888,163107000
2015-02-03,171.07525634765625,171.0836161565358,169.16273342506568,169.53855525992458,124212900
2015-02-04,170.42391967773438,171.52634457672556,169.96457596982137,170.3069969833218,134306700
2015-02-05,172.144287109375,172.29462350712728,171.0168214724895,171.09198329955936,97953200
2015-02-06,171.66824340820312,173.07967491471948,171.1420851500406,172.5117558395642,125672000
2015-02-09,170.89990234375,171.74341482221,170.49066670414967,171.01682499169112,87219000
2015-02-10,172.72059631347656,172.9794956114221,170.94168950117046,171.94389841964002,96164200
2015-02-11,172.82077026367188,173.255059840282,171.90209596899638,172.5535239621052,91087800
2015-02-12,174.48277282714844,174.54124052844537,172.85420266863906,173.62255339102262,97545900
2015-02-13,175.20101928710938,175.25112717862206,174.34914690055086,174.60805891272358,93670400
2015-02-17,175.47662353515625,175.652013897167,174.63311096872064,174.88365042357287,76968200
2015-02-18,175.4932861328125,175.56844795030332,174.83349841854172,175.10075742776812,80652900
2015-02-19,175.36805725097656,175.7355321290846,174.75004290471747,174.8920195178747,91462500
2015-02-20,176.42039489746094,176.49555674681292,174.32412097901334,174.95049521084596,140896400
2015-02-23,176.39529418945312,176.39529418945312,175.78561425667732,176.16979595755504,74411100
2015-02-24,176.89642333984375,177.0968676711407,176.01949691289124,176.3201570380288,72472300
2015-02-25,176.74612426757812,177.25557586325428,176.40370326610685,176.771178219528,73061700
2015-02-26,176.5372314453125,176.81283750208488,175.92755164838715,176.6541540684635,72697900
2015-02-27,175.93594360351562,176.70429423084457,175.88583571923954,176.43703518988886,108076000
2015-03-02,177.04673767089844,177.10519262880246,175.98607392524576,176.03618181591037,87491400
2015-03-03,176.3201446533203,177.09685523187613,175.451578099273,176.61245768964434,110325800
2015-03-04,175.5768280029297,175.7939791746273,174.59968596113043,175.7188045994017,114497200
2015-03-05,175.7689208984375,176.05287408438272,175.25946947960023,175.90253768125035,76873000
2015-03-06,173.29684448242188,175.33465037941033,172.96278337363646,174.90036074309776,188128000
2015-03-09,174.0150604248047,174.37417542403253,173.3385785007802,173.49726196317852,89818900
2015-03-10,171.1921844482422,172.720538519529,171.15042363334356,172.63702963334325,157121300
2015-03-11,170.7913360595703,171.62650151707433,170.70781441637448,171.45111116380852,110145700
2015-03-12,172.96273803710938,173.02954004646494,171.37591632727606,171.42602420609828,93993500
2015-03-13,171.90208435058594,173.6559239274905,170.85812767018612,172.68714181322446,162410900
2015-03-16,174.19879150390625,174.29066020282139,171.92714071583396,172.63703636596105,136099200
2015-03-17,173.68096923828125,174.06513811296887,172.86249812617064,173.45547105485403,94510400
2015-03-18,175.7689208984375,176.4454028535006,172.56187598228146,173.20495692754463,228808500
2015-03-19,174.9671173095703,175.777228609681,174.57458862833687,175.35129892612588,117917300
2015-03-20,176.5115966796875,177.0233222622869,175.7398161420867,175.9243737489586,177715100
2015-03-23,176.16763305664062,177.09880534338853,176.16763305664062,176.51996678669403,71784500
2015-03-24,175.17767333984375,176.50311324947825,175.11056035193292,176.04173225839347,77805300
2015-03-25,172.61068725585938,175.62232404387842,172.56875282968767,175.38743493513272,159521700
2015-03-26,172.19961547851562,173.1223903435679,171.23488059171743,171.93956062745093,153067200
2015-03-27,172.5939483642578,172.77010882594251,171.8892681160232,172.0822228318665,118939000
2015-03-30,174.6995849609375,175.0015871564434,173.61741789399971,173.6341865489445,96180400
2015-03-31,173.17282104492188,174.57378479401177,173.1141051419462,173.86910435478924,126768700
2015-04-01,172.5603790283203,173.16438333259188,171.56209378096878,173.13921755328874,137303600
2015-04-02,173.18112182617188,173.63411854175573,172.30866569175822,172.49322322786514,86900900
2015-04-06,174.3472137451172,174.86732354767153,172.1493171725195,172.28353038574508,114368200
2015-04-07,173.88584899902344,175.12740783303363,173.85229889021207,174.37240878003402,81236300
2015-04-08,174.47303771972656,174.91765017722855,173.71803881466576,174.11231971856327,89351900
2015-04-09,175.2448272705078,175.47971639998357,173.81032671553078,174.30527075260483,85548900
2015-04-10,176.20123291015625,176.2431801566361,175.2952389488044,175.49656525110373,72722900
2015-04-13,175.40426635742188,176.69616971835387,175.3539347876065,176.05860236602345,74436600
2015-04-14,175.73974609375,175.9243036270589,174.57368502447738,175.20285494244092,75099900
2015-04-15,176.52835083007812,177.0400763706317,176.12568553930606,176.20958000844553,99529300
2015-04-16,176.47802734375,176.98975290771818,175.99146756157538,176.1928066164233,68934900
2015-04-17,174.44789123535156,175.52167383265424,173.65932934034842,175.27840036316306,191113200
2015-04-20,176.04177856445312,176.37733079177733,175.2951639782343,175.3790456348169,92189500
2015-04-21,175.83203125,176.8890321424112,175.5300291663832,176.7296403759891,72559800
2015-04-22,176.6961212158203,176.8806787881501,175.2448264151816,176.17599860266472,78264600
2015-04-23,177.14077758789062,177.79511357901586,176.17604225702604,176.2934868502921,102585900
2015-04-24,177.55178833007812,177.8202403703912,177.09879151267208,177.56018545664904,61327400
2015-04-27,176.8135528564453,178.24805329957138,176.62059817188728,178.12222441876963,79358100
2015-04-28,177.3756103515625,177.42594190402318,175.60554488721408,176.78838757202672,86863500
2015-04-29,176.6457977294922,177.24978922957567,175.83207006900034,176.4780088011655,125684900
2015-04-30,174.875732421875,176.46124051405948,174.17105220273896,176.066959572572,161304900
2015-05-01,176.77163696289062,176.81358419742537,175.5636282910829,175.66429141356727,103399700
2015-05-04,177.27496337890625,177.86218621188007,177.09040580275763,177.1994532428471,70927200
2015-05-05,175.2448272705078,177.3924051407822,175.10221692764736,177.031674320196,113326200
2015-05-06,174.52340698242188,176.10891526602617,173.44962427185916,175.79852875140244,135060200
2015-05-07,175.2196502685547,175.64749407022768,174.08715192408914,174.42270414456115,88244900
2015-05-08,177.52662658691406,177.72796562172573,176.82195916582037,176.90585363044977,155877300
2015-05-11,176.6793212890625,177.75310370642927,176.60382396295768,177.48466450233562,75708100
2015-05-12,176.15086364746094,176.6961521340306,175.00996791001484,175.84047713082109,119727600
2015-05-13,176.18443298339844,177.1911027177423,175.94954380540153,176.56193253371487,94667900
2015-05-14,178.02159118652344,178.11386998142814,176.93102710142207,177.20786348613618,95934000
2015-05-15,178.2145233154297,178.35713366326868,177.7279635872448,178.2145233154297,76510100
2015-05-18,178.76821899414062,179.01987681644476,177.9796570162554,178.04677003570305,74549700
2015-05-19,178.7095184326172,179.16252818507215,178.4242976554428,178.88569173646115,72114600
2015-05-20,178.58367919921875,179.33867834241917,178.26489552517816,178.81017126187834,76857500
2015-05-21,179.10372924804688,179.31345258440288,178.27322022789824,178.44100913738032,64764600
2015-05-22,178.6759490966797,179.137330327563,178.60883607388752,178.7178835354871,57433500
2015-05-26,176.75486755371094,178.60882792229302,176.3354207807783,178.18098402158193,124308600
2015-05-27,178.43270874023438,178.6675979802472,176.80525271978593,177.21631529006012,93214000
2015-05-28,178.2313232421875,178.3403706956626,177.53504008315727,178.1222629882131,74974600
2015-05-29,177.1239471435547,178.20611396788468,176.85550791911893,178.16417953942386,124919600
2015-06-01,177.4846954345703,178.13063418225912,176.68773640735964,177.79508191853762,93338800
2015-06-02,177.30848693847656,178.00476990779666,176.39409632113285,177.02326629094665,91531000
2015-06-03,177.77825927734375,178.40742922642855,177.28331532284926,177.84537227463892,87820900
2015-06-04,176.2766571044922,177.7279389612918,175.957873547318,177.06521887192548,151882800
2015-06-05,175.97467041015625,176.65417200954332,175.31193746224983,176.12566507646568,121704700
2015-06-08,174.8925018310547,176.01662877574353,174.81700449312356,175.86562129938312,89063300
2015-06-09,174.8673095703125,175.41259790728935,174.22975525683552,174.8673095703125,105034700
2015-06-10,176.9645233154297,177.3504198312821,175.58035461389437,175.63907048340758,134551300
2015-06-11,177.53504943847656,177.9209333104908,177.17431854889807,177.409207723298,73876400
2015-06-12,176.17604064941406,177.40921526770518,175.89920422484866,176.70454771453896,135382400
2015-06-15,175.4210205078125,175.70624122603547,174.31367494224236,175.02673953829878,124384200
2015-06-16,176.37738037109375,176.46127485175583,175.09387418006708,175.27003466875672,85308200
2015-06-17,176.66259765625,177.27499919195924,175.6307621269664,176.66259765625,126708600
2015-06-18,178.4998016357422,178.96958006275105,176.69618528908273,177.2666268645929,165867900
2015-06-19,177.7073516845703,178.3311570920234,177.32801594687112,178.2552925170361,130478700
2015-06-22,178.6177978515625,179.20787720291457,178.4070543073107,178.63466093667688,70696000
2015-06-23,178.7441864013672,179.08138369091796,178.34800048813227,178.82848893944524,68476800
2015-06-24,177.44601440429688,178.85377934083758,177.4207262151129,178.47444364031657,92307300
2015-06-25,176.9065399169922,178.07827336688385,176.8306753372956,177.95183240072288,97107400
2015-06-26,176.872802734375,177.51345831436976,176.31643683285327,177.26898866244574,104174800
2015-06-29,173.1636962890625,176.8812142599813,173.08783172543417,175.38072175311464,202621300
